Country,Pos,EBF,H-met,W-met,H-imp,lbs,st-lb,Player name
S,prop,558,190cm,106kg,"6' 3""",234,16s10,Viliamu Afatia
S,scrum-half,387,168cm,65 kg,"5' 6""",143,10s 3,Vavao Afemai
i,prop,584,185cm,108kg,"6' 1""",238,17s 0,Matias Aguero
a,wing,508,181cm,92 kg,"5'11""",203,14s 7,Horacio Agulla
R,back-row,625,192cm,120kg,"6' 4""",265,18s13,Willem Alberts
a,Lock,588,199cm,117kg,"6' 6""",258,18s 6,Matias Alemanno
i,fly-half,463,188cm,87 kg,"6' 2""",192,13s10,Tomasso Allan
W,centre,528,193cm,102kg,"6' 4""",225,16s 1,Cory Allen
Y,back-row,471,172cm,81 kg,"5' 8""",179,12s11,Agustin Alonso
a,fullback,476,185cm,88 kg,"6' 1""",194,13s12,Lucas Gonzalez Amorosino
W,wing,530,185cm,98 kg,"6' 1""",216,15s 6,Hallam Amos
M,Lock,548,197cm,108kg,"6' 6""",238,17s 0,Marius Antonescu
M,wing,495,186cm,92 kg,"6' 1""",203,14s 7,Adrian Apostol
G,wing,497,177cm,88 kg,"5'10""",194,13s12,Giorgi Aptsiauri
Y,prop,581,172cm,100kg,"5' 8""",220,15s10,Carlos Arboleya
C,back-row,570,193cm,110kg,"6' 4""",243,17s 5,Tyler Ardron
A,wing,538,182cm,98 kg,"6' 0""",216,15s 6,Adam Ashley-Cooper
G,prop,658,184cm,121kg,"6' 0""",267,19s 1,Kakha Asieshvili
F,prop,687,182cm,125kg,"6' 0""",276,19s10,Lee Roy Atalifo
f,prop,787,197cm,155kg,"6' 6""",342,24s 6,Uini Atonio
T,prop,659,185cm,122kg,"6' 1""",269,19s 3,Halani Aulika
S,wing,492,187cm,92 kg,"6' 2""",203,14s 7,Fa'atoina Autagavaia
S,hooker,640,178cm,114kg,"5'10""",251,17s13,Ole Avei
a,prop,595,185cm,110kg,"6' 1""",243,17s 5,Marcos Ayerza
W,hooker,602,191cm,115kg,"6' 3""",254,18s 2,Scott Baldwin
W,Lock,611,198cm,121kg,"6' 6""",267,19s 1,Jake Ball
C,hooker,567,178cm,101kg,"5'10""",223,15s13,Ray Barkwill
Z,fly-half,492,187cm,92 kg,"6' 2""",203,14s 7,Beauden Barrett
U,back-row,524,191cm,100kg,"6' 3""",220,15s10,Danny Barrett
E,centre,519,185cm,96 kg,"6' 1""",212,15s 2,Brad Barritt
Y,Lock,486,185cm,90 kg,"6' 1""",198,14s 2,Fernando Bascou
f,centre,656,183cm,120kg,"6' 0""",265,18s13,Mathieu Bastareaud
U,prop,649,188cm,122kg,"6' 2""",269,19s 3,Chris Baumann
A,centre,489,184cm,92 kg,"6' 0""",203,14s 7,Kurtley Beale
Y,Lock,438,194cm,85 kg,"6' 4""",187,13s 5,Matias Beer
G,scrum-half,444,180cm,80 kg,"5'11""",176,12s 8,Giorgi Begadze
f,prop,639,183cm,117kg,"6' 0""",258,18s 6,Eddy Ben Arous
s,centre,486,183cm,89 kg,"6' 0""",196,14s 0,Mark Bennett
i,centre,503,185cm,93 kg,"6' 1""",205,14s 9,Tommaso Benvenuti
Y,fly-half,446,175cm,78 kg,"5' 9""",172,12s 4,Felipe Berchesi
i,back-row,530,185cm,98 kg,"6' 1""",216,15s 6,Mauro Bergamasco
i,Lock,566,198cm,112kg,"6' 6""",247,17s 9,Valerio Bernabo
I,hooker,611,180cm,110kg,"5'11""",243,17s 5,Rory Best
C,Lock,520,196cm,102kg,"6' 5""",225,16s 1,Brett Beukeboom
W,fly-half,479,188cm,90 kg,"6' 2""",198,14s 2,Dan Biggar
Y,fly-half,413,184cm,76 kg,"6' 0""",168,12s 0,Manuel Blengio
C,centre,543,188cm,102kg,"6' 2""",225,16s 1,Nick Blevins
a,centre,495,186cm,92 kg,"6' 1""",203,14s 7,Marcelo Bosch
M,wing,444,180cm,80 kg,"5'11""",176,12s 8,Ionut Botezatu
N,fullback,415,188cm,78 kg,"6' 2""",172,12s 4,Chrysander Botha
N,back-row,553,190cm,105kg,"6' 3""",231,16s 7,Renaldo Bothma
F,centre,566,182cm,103kg,"6' 0""",227,16s 3,Lepani Botia
I,wing,534,191cm,102kg,"6' 3""",225,16s 1,Tommy Bowe
C,centre,445,182cm,81 kg,"6' 0""",179,12s11,Connor Braid
M,scrum-half,413,172cm,71 kg,"5' 8""",157,11s 3,Tudorel Bratu
G,hooker,635,181cm,115kg,"5'11""",254,18s 2,Jaba Bregvadze
R,hooker,549,182cm,100kg,"6' 0""",220,15s10,Schalk Brits
J,back-row,566,196cm,111kg,"6' 5""",245,17s 7,Michael Broadhurst
E,prop,660,188cm,124kg,"6' 2""",273,19s 7,Kieran Brookes
s,hooker,566,182cm,103kg,"6' 0""",227,16s 3,Fraser Brown
E,fullback,503,183cm,92 kg,"6' 0""",203,14s 7,Mike Brown
N,scrum-half,535,185cm,99 kg,"6' 1""",218,15s 8,Eniell Buitendag
Y,wing,492,177cm,87 kg,"5'10""",192,13s10,Francisco Bulanti
M,back-row,528,193cm,102kg,"6' 4""",225,16s 1,Stelian Burcea
N,back-row,559,188cm,105kg,"6' 2""",231,16s 7,Jaques Burger
R,back-row,591,193cm,114kg,"6' 4""",251,17s13,Schalk Burger
E,centre,592,196cm,116kg,"6' 5""",256,18s 4,Sam Burgess
C,prop,621,190cm,118kg,"6' 3""",260,18s 8,Hubert Buydens
M,scrum-half,451,182cm,82 kg,"6' 0""",181,12s13,Valentin Calafeteanu
i,centre,538,184cm,99 kg,"6' 0""",218,15s 8,Michele Campagnaro
Z,back-row,545,189cm,103kg,"6' 2""",227,16s 3,Sam Cane
i,fly-half,489,190cm,93 kg,"6' 3""",205,14s 9,Carlo Canna
M,hooker,574,183cm,105kg,"6' 0""",231,16s 7,Eugen Capatana
E,scrum-half,492,177cm,87 kg,"5'10""",192,13s10,Danny Care
C,hooker,596,183cm,109kg,"6' 0""",240,17s 2,Aaron Carpenter
M,back-row,555,191cm,106kg,"6' 3""",234,16s10,Daniel Carpo
Z,fly-half,539,178cm,96 kg,"5'10""",212,15s 2,Dan Carter
i,prop,633,188cm,119kg,"6' 2""",262,18s10,Martin Castrogiovanni
I,centre,530,183cm,97 kg,"6' 0""",214,15s 4,Darren Cave
F,Lock,600,200cm,120kg,"6' 7""",265,18s13,Tevita Cavubati
a,prop,644,188cm,121kg,"6' 2""",267,19s 1,Nahuel Tetaz Chaparro
W,Lock,607,206cm,125kg,"6' 9""",276,19s10,Luke Charteris
G,prop,638,188cm,120kg,"6' 2""",265,18s13,Levan Chilachava
i,prop,611,180cm,110kg,"5'11""",243,17s 5,Dario Chistolini
G,Lock,559,195cm,109kg,"6' 5""",240,17s 2,Giorgi Chkhaidze
f,back-row,578,192cm,111kg,"6' 4""",245,17s 7,Damien Chouly
i,prop,654,191cm,125kg,"6' 3""",276,19s10,Lorenzo Cittadini
N,prop,652,187cm,122kg,"6' 2""",269,19s 3,Aranos Coetzee
F,prop,650,180cm,117kg,"5'11""",258,18s 6,Isei Colati
E,prop,618,191cm,118kg,"6' 3""",260,18s 8,Dan Cole
Z,hooker,560,184cm,103kg,"6' 0""",227,16s 3,Dane Coles
N,back-row,536,183cm,98 kg,"6' 0""",216,15s 6,Wian Conradie
A,fly-half,494,186cm,84 kg,"6' 1""",185,13s 3,Quade Cooper
a,wing,443,176cm,78 kg,"5' 9""",172,12s 4,Santiago Cordero
Y,prop,592,179cm,106kg,"5'10""",234,16s10,Alejo Corral
a,hooker,608,181cm,110kg,"5'11""",243,17s 5,Agustin Creevy
Z,prop,601,193cm,116kg,"6' 4""",256,18s 4,Wyatt Crockett
I,hooker,580,181cm,105kg,"5'11""",231,16s 7,Sean Cronin
a,scrum-half,458,177cm,81 kg,"5'10""",179,12s11,Tomas Cubelli
C,Lock,602,196cm,118kg,"6' 5""",260,18s 8,Jamie Cudmore
W,wing,535,198cm,106kg,"6' 6""",234,16s10,Alex Cuthbert
C,back-row,562,178cm,100kg,"5'10""",220,15s10,Nanyak Dala
N,back-row,559,188cm,105kg,"6' 2""",231,16s 7,Leneve Damens
G,Lock,582,196cm,114kg,"6' 5""",251,17s13,Levan Datunashvili
W,Lock,611,198cm,121kg,"6' 6""",267,19s 1,Bradley Davies
W,scrum-half,494,178cm,88 kg,"5'10""",194,13s12,Gareth Davies
W,Lock,586,198cm,116kg,"6' 6""",256,18s 4,Dominic Day
R,centre,534,189cm,101kg,"6' 2""",223,15s13,Damian De Allende
Y,back-row,456,182cm,83 kg,"6' 0""",183,13s 1,Juan De Freitas
R,Lock,583,206cm,120kg,"6' 9""",265,18s13,Lood De Jager
N,prop,741,185cm,137kg,"6' 1""",302,21s 8,AJ De Klerk
R,centre,542,190cm,103kg,"6' 3""",227,16s 3,Jean De Villiers
a,centre,516,184cm,95 kg,"6' 0""",209,14s13,Jeronimo De la Fuente
