"player_name","country","metric","value"
"Sean O'Brien","Ireland","carries","49.0"
"Jamie Heaslip","Ireland","carries","48.0"
"Keith Earls","Ireland","carries","46.0"
"Rob Kearney","Ireland","carries","42.0"
"Iain Henderson","Ireland","carries","40.0"
"Robbie Henshaw","Ireland","carries","37.0"
"Chris Henry","Ireland","carries","36.0"
"Rory Best","Ireland","carries","33.0"
"Peter O'Mahony","Ireland","carries","32.0"
"Dave Kearney","Ireland","carries","32.0"
"Ian Madigan","Ireland","carries","31.0"
"Cian Healy","Ireland","carries","27.0"
"Tommy Bowe","Ireland","carries","25.0"
"Simon Zebo","Ireland","carries","23.0"
"Jared Payne","Ireland","carries","23.0"
"Devin Toner","Ireland","carries","22.0"
"Paul O'Connell","Ireland","carries","22.0"
"Jack McGrath","Ireland","carries","20.0"
"Conor Murray","Ireland","carries","18.0"
"Jordi Murphy","Ireland","carries","16.0"
"Luke Fitzgerald","Ireland","carries","16.0"
"Donnacha Ryan","Ireland","carries","11.0"
"Jonathan Sexton","Ireland","carries","10.0"
"Darren Cave","Ireland","carries","9.0"
"Sean Cronin","Ireland","carries","8.0"
"Mike Ross","Ireland","carries","7.0"
"Nathan White","Ireland","carries","6.0"
"Eoin Reddan","Ireland","carries","5.0"
"Richardt Strauss","Ireland","carries","4.0"
"Rhys Ruddock","Ireland","carries","2.0"
"Paddy Jackson","Ireland","carries","1.0"
"Keith Earls","Ireland","clean_breaks","5.0"
"Luke Fitzgerald","Ireland","clean_breaks","4.0"
"Jared Payne","Ireland","clean_breaks","3.0"
"Rob Kearney","Ireland","clean_breaks","3.0"
"Simon Zebo","Ireland","clean_breaks","2.0"
"Dave Kearney","Ireland","clean_breaks","2.0"
"Jamie Heaslip","Ireland","clean_breaks","2.0"
"Jonathan Sexton","Ireland","clean_breaks","2.0"
"Darren Cave","Ireland","clean_breaks","2.0"
"Chris Henry","Ireland","clean_breaks","1.0"
"Conor Murray","Ireland","clean_breaks","1.0"
"Peter O'Mahony","Ireland","clean_breaks","1.0"
"Rory Best","Ireland","clean_breaks","1.0"
"Tommy Bowe","Ireland","clean_breaks","1.0"
"Ian Madigan","Ireland","clean_breaks","1.0"
"Robbie Henshaw","Ireland","clean_breaks","1.0"
"Jordi Murphy","Ireland","clean_breaks","1.0"
"Rob Kearney","Ireland","metres_made","285.0"
"Keith Earls","Ireland","metres_made","263.0"
"Simon Zebo","Ireland","metres_made","152.0"
"Jared Payne","Ireland","metres_made","147.0"
"Luke Fitzgerald","Ireland","metres_made","147.0"
"Dave Kearney","Ireland","metres_made","141.0"
"Jamie Heaslip","Ireland","metres_made","129.0"
"Tommy Bowe","Ireland","metres_made","122.0"
"Robbie Henshaw","Ireland","metres_made","115.0"
"Jonathan Sexton","Ireland","metres_made","102.0"
"Sean O'Brien","Ireland","metres_made","96.0"
"Ian Madigan","Ireland","metres_made","91.0"
"Iain Henderson","Ireland","metres_made","84.0"
"Chris Henry","Ireland","metres_made","77.0"
"Darren Cave","Ireland","metres_made","67.0"
"Peter O'Mahony","Ireland","metres_made","62.0"
"Conor Murray","Ireland","metres_made","60.0"
"Rory Best","Ireland","metres_made","47.0"
"Cian Healy","Ireland","metres_made","45.0"
"Paul O'Connell","Ireland","metres_made","36.0"
"Devin Toner","Ireland","metres_made","36.0"
"Sean Cronin","Ireland","metres_made","32.0"
"Jordi Murphy","Ireland","metres_made","26.0"
"Jack McGrath","Ireland","metres_made","17.0"
"Donnacha Ryan","Ireland","metres_made","12.0"
"Richardt Strauss","Ireland","metres_made","11.0"
"Eoin Reddan","Ireland","metres_made","7.0"
"Nathan White","Ireland","metres_made","6.0"
"Mike Ross","Ireland","metres_made","6.0"
"Rhys Ruddock","Ireland","metres_made","3.0"
"Jamie Heaslip","Ireland","offloads_made","3.0"
"Robbie Henshaw","Ireland","offloads_made","3.0"
"Jordi Murphy","Ireland","offloads_made","3.0"
"Keith Earls","Ireland","offloads_made","2.0"
"Jared Payne","Ireland","offloads_made","2.0"
"Iain Henderson","Ireland","offloads_made","2.0"
"Rory Best","Ireland","offloads_made","1.0"
"Eoin Reddan","Ireland","offloads_made","1.0"
"Peter O'Mahony","Ireland","offloads_made","1.0"
"Chris Henry","Ireland","offloads_made","1.0"
"Conor Murray","Ireland","offloads_made","1.0"
"Ian Madigan","Ireland","offloads_made","1.0"
"Sean O'Brien","Ireland","turnovers_won","5.0"
"Iain Henderson","Ireland","turnovers_won","5.0"
"Chris Henry","Ireland","turnovers_won","5.0"
"Jordi Murphy","Ireland","turnovers_won","3.0"
"Rory Best","Ireland","turnovers_won","3.0"
"Peter O'Mahony","Ireland","turnovers_won","3.0"
"Jonathan Sexton","Ireland","turnovers_won","2.0"
"Richardt Strauss","Ireland","turnovers_won","2.0"
"Conor Murray","Ireland","turnovers_won","2.0"
"Paul O'Connell","Ireland","turnovers_won","2.0"
"Jamie Heaslip","Ireland","turnovers_won","2.0"
"Eoin Reddan","Ireland","turnovers_won","2.0"
"Robbie Henshaw","Ireland","turnovers_won","2.0"
"Keith Earls","Ireland","turnovers_won","1.0"
"Sean Cronin","Ireland","turnovers_won","1.0"
"Jared Payne","Ireland","turnovers_won","1.0"
"Tommy Bowe","Ireland","turnovers_won","1.0"
"Cian Healy","Ireland","turnovers_won","1.0"
"Rob Kearney","Ireland","turnovers_won","1.0"
"Chris Henry","Ireland","matches","5"
"Cian Healy","Ireland","matches","5"
"Conor Murray","Ireland","matches","5"
"Jack McGrath","Ireland","matches","5"
"Jamie Heaslip","Ireland","matches","5"
"Keith Earls","Ireland","matches","5"
"Nathan White","Ireland","matches","5"
"Dave Kearney","Ireland","matches","4"
"Devin Toner","Ireland","matches","4"
"Eoin Reddan","Ireland","matches","4"
"Iain Henderson","Ireland","matches","4"
"Ian Madigan","Ireland","matches","4"
"Luke Fitzgerald","Ireland","matches","4"
"Mike Ross","Ireland","matches","4"
